,pixel_r,pixel_g,pixel_b,local_r,local_g,local_b,edges_r,edges_g,edges_b,label
1206,122,127,120,117,123,115,83,87,81,norm_impervious
1207,138,142,128,138,140,129,80,84,78,norm_impervious
1208,106,107,99,98,99,90,86,88,78,norm_impervious
1209,95,95,95,89,91,85,65,67,58,norm_impervious
1210,93,94,86,89,91,82,86,88,77,norm_impervious
1211,71,74,63,74,78,71,80,83,73,norm_impervious
1212,94,97,86,91,94,85,77,79,71,norm_impervious
1213,109,112,103,96,98,90,81,83,75,norm_impervious
1214,116,123,107,108,115,99,87,91,80,norm_impervious
1215,130,136,122,129,134,122,92,95,85,norm_impervious
1216,100,105,99,96,100,93,66,68,61,norm_impervious
1217,93,94,86,89,91,82,86,88,77,norm_impervious
1218,59,59,57,62,64,62,67,66,60,norm_impervious
1219,46,48,45,60,64,63,61,66,63,norm_impervious
1220,68,69,73,67,69,68,67,71,67,norm_impervious
1221,89,95,93,87,93,90,69,73,67,norm_impervious
1222,92,93,79,93,93,81,90,92,81,norm_impervious
1223,176,178,165,175,179,163,102,103,93,norm_impervious
1224,88,95,88,80,82,69,61,64,53,norm_impervious
1225,41,57,30,44,51,37,55,58,48,norm_pervious
1226,60,76,50,46,55,38,56,60,49,norm_pervious
1227,48,67,37,47,56,39,55,58,48,norm_pervious
1228,71,87,60,59,73,48,46,56,37,norm_pervious
1229,65,79,53,58,70,47,55,63,46,norm_pervious
1230,47,61,48,42,55,42,66,72,56,norm_pervious
1231,59,68,49,52,60,44,42,49,35,norm_pervious
1232,34,43,26,39,44,29,43,47,33,shaded_pervious
1233,52,66,43,40,46,30,40,45,30,norm_pervious
1234,58,67,48,45,52,35,48,53,38,norm_pervious
1235,35,46,32,34,42,28,37,43,29,norm_pervious
1236,51,62,46,36,44,28,34,39,25,norm_pervious
1237,30,44,27,35,41,27,39,44,30,norm_pervious
1238,53,62,43,44,50,33,46,50,35,norm_pervious
1239,44,58,35,37,44,28,34,41,25,norm_pervious
1240,38,52,27,36,44,27,38,45,29,norm_pervious
1241,91,91,79,80,80,66,59,60,47,norm_impervious
1242,91,91,83,81,81,68,61,62,49,norm_impervious
1243,89,87,72,67,68,55,53,54,41,norm_impervious
1244,78,78,76,70,70,59,57,56,42,norm_impervious
1245,88,88,88,67,67,55,53,55,41,norm_impervious
1246,33,33,23,33,35,25,56,57,45,norm_impervious
1247,36,34,21,40,41,29,53,57,45,norm_impervious
1248,35,34,29,41,44,30,55,58,47,norm_impervious
1249,27,28,22,44,46,38,59,64,51,norm_impervious
1250,39,38,36,43,47,38,61,65,54,norm_impervious
1251,86,87,82,77,79,71,56,59,50,norm_impervious
1252,59,63,64,63,65,64,68,69,64,norm_impervious
1253,53,54,58,65,68,67,67,71,66,norm_impervious
1254,60,65,61,67,70,68,70,73,69,norm_impervious
1255,87,91,90,74,76,73,70,73,69,norm_impervious
1256,70,72,67,61,63,61,66,63,56,norm_impervious
1257,59,64,58,62,63,62,69,68,63,norm_impervious
1258,64,69,63,62,64,62,68,63,57,norm_impervious
1259,76,82,82,77,84,77,72,78,67,norm_impervious
1260,73,82,77,82,87,80,75,80,71,norm_impervious
1261,81,88,81,82,86,78,73,75,65,norm_impervious
1262,86,89,82,82,87,79,75,79,70,norm_impervious
1263,86,91,84,83,88,80,71,76,68,norm_impervious
1264,90,95,89,80,85,80,79,82,73,norm_impervious
1265,43,55,43,39,47,35,47,53,43,norm_pervious
1266,59,73,58,39,47,35,47,53,42,norm_pervious
1267,36,47,30,40,45,33,47,52,42,norm_pervious
1268,34,45,28,35,42,25,36,43,28,norm_pervious
1269,30,41,24,34,41,25,35,42,26,norm_pervious
1270,37,49,29,33,42,27,34,43,28,norm_pervious
